1,1,4,4,1,0,-1,2,2,-1,1,219,15.242
1,9,3,3,1,0,-1,2,2,-1,1,201,9.1989
1,13,4,3,2,0,-1,2,2,1,0,231,8.8706
1,17,2,2,2,0,-1,2,2,-1,1,204,9.0203
1,31,2,2,2,0,1,2,2,-1,0,206,8.3679
1,41,3,3,1,1,0,1,2,1,1,210,8.4203
1,45,3,2,2,1,0,1,2,1,1,230,9.6531
1,50,3,3,1,0,-1,2,2,-1,1,209,8.5489
1,55,3,3,1,-1,0,1,2,-1,1,205,8.7768
1,58,3,3,2,0,1,2,2,1,1,223,8.6229
1,59,5,4,2,1,0,1,2,-1,0,239,8.927
1,64,3,2,2,0,1,2,2,1,1,249,8.1641
1,66,5,4,1,-1,0,1,2,-1,1,236,8.5389
1,80,3,3,1,0,1,2,2,1,1,202,8.9548
1,86,4,4,1,0,1,2,2,-1,0,203,9.0337
1,89,3,2,2,-1,0,1,2,1,0,251,8.3531
1,91,3,2,1,0,-1,2,2,1,0,242,9.3059
1,92,4,3,2,1,0,1,2,-1,0,243,7.9989
1,94,5,4,2,0,-1,2,2,-1,1,254,8.579
1,96,5,4,2,1,0,1,2,-1,0,268,8.6367
1,97,4,3,1,0,1,2,2,-1,0,247,8.0812
1,98,3,3,1,0,-1,2,2,-1,1,215,8.8847
1,105,4,3,2,0,-1,2,2,-1,1,267,8.3638
1,107,4,3,2,0,1,2,2,-1,0,247,8.7602
1,118,4,3,1,0,-1,2,2,-1,1,279,8.3297
1,122,1,1,2,0,-1,2,2,-1,1,211,8.6262
1,123,5,4,2,0,1,2,2,1,1,249,8.969
1,137,2,1,2,-1,0,1,2,-1,1,244,7.6658
1,138,4,4,1,1,0,1,2,1,1,215,8.5875
1,139,2,2,1,0,-1,2,2,-1,1,206,8.7405
1,143,4,4,1,0,1,2,2,-1,0,215,8.5534
1,144,2,1,2,-1,0,1,2,-1,1,249,8.4318
1,145,3,3,2,1,0,1,2,1,1,214,9.1384
1,148,4,3,2,-1,0,1,2,-1,1,246,8.0816
1,155,4,4,1,0,1,2,2,-1,0,228,8.0506
1,159,1,1,2,0,1,2,2,1,1,225,9.0397
1,53,4,4,1,0,1,2,2,-1,0,207,8.7421
1,56,3,2,2,1,0,1,2,1,1,256,9.1979
1,132,1,1,2,0,-1,2,2,-1,1,206,8.615
2,12,4,4,1,0,1,2,2,1,1,210,8.2653
2,16,2,2,1,-1,0,1,2,1,0,215,8.3869
2,18,4,4,1,0,1,2,2,1,1,207,8.595
2,22,4,3,1,0,1,2,2,1,1,278,8.3925
2,27,5,4,1,0,-1,2,2,-1,1,248,8.1762
2,29,5,4,1,0,1,2,2,1,1,245,9.0919
2,34,5,4,1,1,0,1,2,1,1,245,7.8239
2,39,2,1,2,1,0,1,2,1,1,235,8.4262
2,40,5,4,2,-1,0,1,2,-1,1,240,8.616
2,42,3,2,2,0,1,2,2,1,1,269,8.9896
2,43,4,3,1,1,0,1,2,-1,0,243,8.4741
2,46,2,1,2,-1,0,1,2,1,0,234,8.8368
2,52,2,1,1,1,0,1,2,1,1,260,8.2809
2,67,2,2,1,1,0,1,2,1,1,202,8.435
2,71,1,1,2,-1,0,1,2,-1,1,207,10.082
2,73,1,1,1,-1,0,1,2,1,0,222,8.5996
2,78,3,2,1,0,1,2,2,-1,0,229,7.848
2,84,4,4,1,-1,0,1,2,1,0,212,8.2123
2,91,4,3,2,0,-1,2,2,-1,1,249,8.5569
2,101,3,3,1,0,-1,2,2,-1,1,230,8.4186
2,105,4,2,2,0,-1,2,2,1,0,285,9.0592
2,106,1,1,2,-1,0,1,2,-1,1,224,9.52
2,109,1,1,1,0,1,2,2,-1,0,200,8.0359
2,116,3,3,1,1,0,1,2,1,1,212,9.1776
2,120,4,3,2,-1,0,1,2,-1,1,246,8.4618
2,121,2,1,2,0,1,2,2,1,1,236,7.9002
2,126,4,2,2,0,-1,2,2,1,0,285,7.914
2,127,2,2,2,1,0,1,2,1,1,217,8.4328
2,128,2,2,1,1,0,1,2,1,1,228,9.0106
2,129,1,1,1,-1,0,1,2,1,0,210,8.4157
