1,11,4,3,2,0,1,2,2,-1,0,270,5.0312
1,21,2,1,1,0,1,2,2,1,1,276,4.9999
1,23,4,2,2,1,0,1,2,-1,0,282,6.7002
1,39,4,2,1,0,1,2,2,1,1,285,5.1986
1,73,2,1,1,-1,0,1,2,1,0,271,5.441
1,81,2,1,1,0,1,2,2,1,1,244,5.0504
1,88,3,2,2,0,1,2,2,-1,0,271,5.7207
1,95,2,1,1,-1,0,1,2,-1,1,267,5.4027
1,100,2,1,1,-1,0,1,2,-1,1,269,6.3174
1,113,2,1,2,1,0,1,2,1,1,274,5.8063
1,121,2,1,1,1,0,1,2,1,1,237,6.758
1,122,3,2,1,0,1,2,2,1,1,276,5.9975
1,123,1,1,1,0,1,2,2,1,1,228,6.6064
1,129,3,2,1,0,1,2,2,1,1,274,6.1764
1,133,3,2,1,1,0,1,2,1,1,268,5.4162
1,137,5,4,1,0,1,2,2,1,1,298,5.4643
1,148,5,4,1,0,1,2,2,-1,0,257,5.4091
1,149,4,3,1,-1,0,1,2,1,0,266,5.3364
1,151,4,3,2,0,1,2,2,-1,0,267,5.7817
1,1,3,2,1,-1,0,1,2,1,0,261,6.1899
1,77,3,2,2,1,0,1,2,-1,0,266,5.2847
1,79,5,4,2,-1,0,1,2,1,0,271,5.5998
1,147,2,1,2,0,-1,2,2,-1,1,272,5.8174
2,2,3,2,1,1,0,1,2,1,1,262,5.9388
2,16,3,1,2,-1,0,1,2,-1,1,285,6.0277
2,17,3,2,2,1,0,1,2,-1,0,280,5.9245
2,18,3,2,2,1,0,1,2,1,1,267,5.7495
2,19,3,2,2,1,0,1,2,-1,0,279,5.2129
2,20,3,1,2,0,-1,2,2,-1,1,281,5.5999
2,36,2,1,1,0,-1,2,2,-1,1,261,7.6139
2,46,2,1,2,-1,0,1,2,-1,1,267,6.2259
2,55,5,4,2,1,0,1,2,1,1,263,8.2654
2,68,3,2,1,-1,0,1,2,-1,1,268,5.9399
2,93,2,1,1,0,1,2,2,1,1,272,4.8713
2,94,3,2,2,0,-1,2,2,-1,1,274,6.4233
2,110,5,4,2,-1,0,1,2,-1,1,271,5.809
2,123,2,1,1,-1,0,1,2,-1,1,271,6.2051
2,134,2,1,2,0,1,2,2,1,1,273,5.6512
2,135,2,1,1,-1,0,1,2,-1,1,263,5.6401
2,143,2,1,2,-1,0,1,2,-1,1,273,6.2638
2,144,2,2,2,0,1,2,2,-1,0,228,6.6354
2,147,5,4,2,0,-1,2,2,1,0,276,5.9389
2,153,2,1,2,0,-1,2,2,-1,1,260,5.3895
2,155,3,2,2,-1,0,1,2,-1,1,262,5.8094
2,157,2,1,2,0,-1,2,2,-1,1,245,5.8441
2,63,2,1,2,0,-1,2,2,1,0,259,5.6612
3,2,3,2,2,-1,0,1,2,-1,1,271,5.8143
3,4,3,2,2,-1,0,1,2,-1,1,268,5.1403
3,6,4,3,2,-1,0,1,2,-1,1,274,5.0172
3,13,4,3,1,0,1,2,2,1,1,263,5.1105
3,14,5,4,1,1,0,1,2,1,1,268,5.3986
3,23,3,2,1,0,1,2,2,1,1,266,5.7474
3,28,3,1,2,0,-1,2,2,-1,1,287,5.2871
3,30,3,2,2,0,-1,2,2,-1,1,266,5.6579
3,34,2,1,2,1,0,1,2,1,1,277,5.4508
3,41,2,1,1,1,0,1,2,1,1,283,5.6465
3,53,4,3,2,1,0,1,2,1,1,261,6.0974
3,54,5,4,2,0,1,2,2,1,1,250,6.4222
3,57,4,3,2,0,-1,2,2,-1,1,263,5.9921
3,63,3,2,1,-1,0,1,2,-1,1,258,4.9492
3,66,4,2,2,1,0,1,2,-1,0,279,5.1599
3,70,2,1,2,-1,0,1,2,-1,1,263,5.1504
3,71,3,2,2,-1,0,1,2,-1,1,262,6.6407
3,74,2,1,1,1,0,1,2,1,1,280,6.2813
3,75,4,3,2,0,1,2,2,-1,0,276,5.8449
3,78,2,1,2,0,1,2,2,1,1,262,5.1852
3,79,5,4,1,0,1,2,2,1,1,251,6.1563
3,81,2,1,1,1,0,1,2,1,1,265,6.3725
3,84,2,1,1,0,1,2,2,1,1,275,6.4471
3,91,2,1,2,-1,0,1,2,-1,1,253,6.7367
3,96,2,1,2,1,0,1,2,1,1,250,5.1568
3,97,3,2,2,1,0,1,2,1,1,264,5.9136
3,99,3,2,2,0,-1,2,2,-1,1,276,5.3237
3,116,3,2,1,0,-1,2,2,-1,1,278,5.403
3,119,4,3,1,0,-1,2,2,-1,1,274,6.5457
3,126,3,2,2,-1,0,1,2,-1,1,279,6.5192
3,131,3,1,1,-1,0,1,2,-1,1,281,6.2578
3,138,4,3,2,0,1,2,2,1,1,258,6.7246
3,139,5,4,2,0,-1,2,2,-1,1,271,7.3597
3,140,4,2,2,0,-1,2,2,-1,1,286,6.778
3,142,5,4,2,-1,0,1,2,-1,1,265,6.6941
3,145,2,1,1,0,-1,2,2,-1,1,238,5.8305
3,151,3,2,1,0,1,2,2,1,1,266,6.3129
3,154,2,1,1,1,0,1,2,1,1,278,5.1088
3,49,3,2,2,0,1,2,2,1,1,270,5.2943
3,62,2,1,2,0,1,2,2,1,1,267,5.9823
3,124,4,3,1,0,-1,2,2,1,0,260,5.9805
4,5,3,2,2,1,0,1,2,1,1,273,5.3699
4,6,2,1,2,-1,0,1,2,-1,1,273,6.1473
4,8,5,4,2,0,1,2,2,-1,0,252,5.9484
4,16,4,3,2,0,1,2,2,-1,0,238,6.4525
4,17,1,1,1,-1,0,1,2,-1,1,218,5.9245
4,19,2,1,2,1,0,1,2,1,1,244,7.5003
4,21,4,2,1,1,0,1,2,1,1,279,4.3627
4,24,5,3,2,0,-1,2,2,-1,1,280,5.3667
4,25,4,3,1,1,0,1,2,1,1,246,5.7719
4,26,3,2,2,0,-1,2,2,-1,1,247,5.4469
4,27,4,3,2,0,1,2,2,-1,0,272,4.7782
4,28,3,2,1,-1,0,1,2,-1,1,256,5.0301
4,30,5,3,1,0,1,2,2,1,1,283,4.8208
4,31,5,3,1,0,1,2,2,1,1,285,4.9909
4,33,1,1,2,0,1,2,2,-1,0,226,6.2183
4,34,3,2,2,1,0,1,2,1,1,264,5.7904
4,35,3,2,2,0,1,2,2,1,1,258,6.0084
4,37,3,2,1,1,0,1,2,1,1,245,4.7265
4,40,2,2,2,0,1,2,2,1,1,225,5.5683
4,45,3,2,2,-1,0,1,2,-1,1,262,5.5782
4,46,3,2,1,0,1,2,2,1,1,256,5.2947
4,48,4,3,2,-1,0,1,2,-1,1,238,5.4929
4,49,2,1,1,0,1,2,2,1,1,267,5.196
4,50,4,3,1,0,-1,2,2,-1,1,263,4.9181
4,52,2,1,1,0,-1,2,2,1,0,265,5.4526
